edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,54,300186460,round_of_16,43843,Algeria,Germany,4,20,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-algeria-731820,data/raw/2014/huffpost/matches/731820.html
2014,54,300186460,round_of_16,43948,Germany,Algeria,4,11,https://data.huffingtonpost.com/2014/world-cup/matches/germany-vs-algeria-731820,data/raw/2014/huffpost/matches/731820.html
2014,55,300186503,round_of_16,43922,Argentina,Switzerland,4,18,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-switzerland-731821,data/raw/2014/huffpost/matches/731821.html
2014,55,300186503,round_of_16,43971,Switzerland,Argentina,4,29,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-switzerland-731821,data/raw/2014/huffpost/matches/731821.html
2014,56,300186497,round_of_16,43921,United States,Belgium,4,11,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-usa-731822,data/raw/2014/huffpost/matches/731822.html
2014,56,300186497,round_of_16,43935,Belgium,United States,4,27,https://data.huffingtonpost.com/2014/world-cup/matches/belgium-vs-usa-731822,data/raw/2014/huffpost/matches/731822.html
2014,57,300186461,quarter_final,43924,Brazil,Colombia,5,31,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-colombia-731823,data/raw/2014/huffpost/matches/731823.html
2014,57,300186461,quarter_final,43926,Colombia,Brazil,5,23,https://data.huffingtonpost.com/2014/world-cup/matches/brazil-vs-colombia-731823,data/raw/2014/huffpost/matches/731823.html
2014,58,300186485,quarter_final,43946,France,Germany,5,15,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-germany-731824,data/raw/2014/huffpost/matches/731824.html
2014,58,300186485,quarter_final,43948,Germany,France,5,18,https://data.huffingtonpost.com/2014/world-cup/matches/france-vs-germany-731824,data/raw/2014/huffpost/matches/731824.html
2014,59,300186488,quarter_final,43901,Costa Rica,Netherlands,5,13,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-costa-rica-731825,data/raw/2014/huffpost/matches/731825.html
2014,59,300186488,quarter_final,43960,Netherlands,Costa Rica,5,15,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-costa-rica-731825,data/raw/2014/huffpost/matches/731825.html
2014,60,300186504,quarter_final,43922,Argentina,Belgium,5,11,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-belgium-731826,data/raw/2014/huffpost/matches/731826.html
2014,60,300186504,quarter_final,43935,Belgium,Argentina,5,14,https://data.huffingtonpost.com/2014/world-cup/matches/argentina-vs-belgium-731826,data/raw/2014/huffpost/matches/731826.html
