edition,edition_status,ledger,team_id,team,player_id,player,rho,mu,lambda,omega,group_caution_min,group_dismissal_min,group_served_matches,group_served_min,knockout_in_match_min,knockout_accumulation_window_min,knockout_served_matches,knockout_served_min,exp_susp_grp_unweighted_min,exp_susp_unweighted_min,exp_susp_all_unweighted_min,exact_clock_q_min,exp_susp_prime_unweighted_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min
2014,final,full,43938,Croatia,369058,Ante REBIC,2,1.25,0.5,0.171641791,0,12.2,0,0,0,0,0,0,12.2,0,12.2,0,12.2,2.09403,0,2.09403,2.09403
2014,final,full,43942,England,214961,Steven GERRARD,2,1.25,0.5,0.733333333,113,0,0,0,0,0,0,0,113,0,113,28.08,127.04,82.866667,0,82.866667,93.162667
2014,final,full,43942,England,336043,Raheem Sterling,2,1.25,0.5,0.674074074,184.1,0,0,0,0,0,0,0,184.1,0,184.1,4.1,186.15,124.097037,0,124.097037,125.478889
2014,final,full,43942,England,361222,Adam LALLANA,2,1.25,0.5,0.340740741,34,0,0,0,0,0,0,0,34,0,34,37.13,52.565,11.585185,0,11.585185,17.911037
2014,final,full,43942,England,369392,Ross Barkley,2,1.25,0.5,0.544444444,38,0,0,0,0,0,0,0,38,0,38,41.13,58.565,20.688889,0,20.688889,31.885389
2014,final,full,43946,France,212246,Patrice EVRA,2,1.25,0.5,0.8,264,0,0,0,0,180,0,0,264,180,444,182.11,535.055,211.2,144,355.2,428.044
2014,final,full,43946,France,358013,Yohan CABAYE,2,1.25,0.5,0.877777778,227.08,0,1,112.5,0,0,0,0,339.58,0,339.58,54.3,366.73,298.075778,0,298.075778,321.907445
2014,final,full,43946,France,358014,Blaise Matuidi,2,1.25,0.5,0.946666667,0,0,0,0,36,90,0,0,0,126,126,41.03,146.515,0,119.28,119.28,138.700867
2014,final,full,43946,France,367388,Paul Pogba,2,1.25,0.5,0.786666667,243,0,0,0,0,180,0,0,243,180,423,161.11,503.555,191.16,141.6,332.76,396.129934
2014,final,full,43948,Germany,196748,Philipp LAHM,2,1.25,0.5,1,0,0,0,0,16.28,90,0,0,0,106.28,106.28,16.28,114.42,0,106.28,106.28,114.42
2014,final,full,43948,Germany,196752,Bastian SCHWEINSTEIGER,2,1.25,0.5,0.730434783,0,0,0,0,106.98,0,0,0,0,106.98,106.98,111.58,162.77,0,78.141913,78.141913,118.89287
2014,final,full,43948,Germany,196900,Sami KHEDIRA,2,1.25,0.5,0.659649123,0,0,0,0,37,0,0,0,0,37,37,41.6,57.8,0,24.407018,24.407018,38.127719
2014,final,full,43948,Germany,311148,Benedikt HOEWEDES,2,1.25,0.5,1,80,0,0,0,90.98,180,0,0,80,270.98,350.98,297.34,499.65,80,270.98,350.98,499.65
2014,final,full,43949,Greece,214887,Konstantinos KATSOURANIS,2,1.25,0.5,0.64516129,11,114.56,1,112.5,0,0,0,0,238.06,0,238.06,11,243.56,153.587097,0,153.587097,157.135484
2014,final,full,43949,Greece,215513,Dimitrios SALPINGIDIS,2,1.25,0.5,0.622222222,216,0,0,0,0,180,0,0,216,180,396,161.87,476.935,134.4,112,246.4,296.759555
2014,final,full,43949,Greece,228336,Vasileios TOROSIDIS,2,1.25,0.5,1,92,0,0,0,0,180,0,0,92,180,272,128.28,336.14,92,180,272,336.14
2014,final,full,43949,Greece,297112,Georgios SAMARAS,2,1.25,0.5,1,126,0,0,0,0,180,0,0,126,180,306,162.28,387.14,126,180,306,387.14
2014,final,full,43949,Greece,299090,Sokratis Papastathopoulos,2,1.25,0.5,1,219,0,0,0,0,180,0,0,219,180,399,164.87,481.435,219,180,399,481.435
2014,final,full,43949,Greece,323556,Konstantinos Manolas,2,1.25,0.5,1,0,0,0,0,19,90,0,0,0,109,109,51,134.5,0,109,109,134.5
2014,final,full,43949,Greece,362649,Andreas Samaris,2,1.25,0.5,0.377777778,0,0,0,0,55,90,0,0,0,145,145,87,188.5,0,54.777778,54.777778,71.211111
2014,final,full,43954,Italy,298664,Claudio MARCHISIO,2,1.25,0.5,0.907563025,0,75.9,0,0,0,0,0,0,75.9,0,75.9,0,75.9,68.884034,0,68.884034,68.884034
2014,final,full,43954,Italy,301059,Mario BALOTELLI,2,1.25,0.5,0.766666667,112,0,0,0,0,0,0,0,112,0,112,100.68,162.34,85.866667,0,85.866667,124.460667
2014,final,full,43954,Italy,359223,Mattia De Sciglio,2,1.25,0.5,0.5,14,0,0,0,0,0,0,0,14,0,14,19.95,23.975,7,0,7,11.9875
2014,final,full,43960,Netherlands,184615,Klaas Jan HUNTELAAR,2,1.25,0.5,0.079710145,0,0,0,0,28,0,0,0,0,28,28,28,42,0,2.231884,2.231884,3.347826
2014,final,full,43960,Netherlands,184616,Arjen ROBBEN,2,1.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,final,full,43960,Netherlands,217315,Robin VAN PERSIE,2,1.25,0.5,0.906666667,205,0,1,112.5,0,0,0,0,317.5,0,317.5,75.97,355.485,287.866667,0,287.866667,322.3064
2014,final,full,43960,Netherlands,298677,Jonathan DE GUZMAN,2,1.25,0.5,0.330434783,246,0,0,0,0,180,0,0,246,180,426,166.43,509.215,81.286957,59.478261,140.765218,168.262348
