edition,edition_status,match_number,stage,team_id,team,segment,foul_events,provider,feed_status,source_url
2018,final,15,group,43962,Poland,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43962,Poland,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,03_45_60,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,15,group,43879,Senegal,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,01_15_30,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,03_45_60,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,04_60_75,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43926,Colombia,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43819,Japan,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43819,Japan,01_15_30,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43819,Japan,02_30_half_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43819,Japan,03_45_60,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,16,group,43819,Japan,04_60_75,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
